"" "gene.id" "p.value" "q.value" "log.fc" "test.stat"
"2214" "YMR100W" 1.51934421914557e-08 4.48940825729463e-08 0.688576318706557 32.0284082223236
"2215" "YGR027W-B" 1.53307509920296e-08 4.52763445983968e-08 -0.700358792516933 32.0109307692369
"2216" "YOR232W" 1.53366523433273e-08 4.52763445983968e-08 -0.499978207558396 32.0101831299099
"2217" "YDL061C" 1.58478597852256e-08 4.67644107870753e-08 -0.75222661766475 31.9464884927974
"2218" "YBR029C" 1.61562215624441e-08 4.7652841055685e-08 -0.468355260124484 31.9090554082977
"2219" "YFR051C" 1.63159335092483e-08 4.81022248839579e-08 -0.452280229044469 31.8899478018478
"2220" "YNL299W" 1.66008807210541e-08 4.8920253007719e-08 -0.58235104020938 31.8563180129133
"2221" "YBL068W" 1.66415020561029e-08 4.90178777357161e-08 -0.623044683237499 31.8515709849599
"2222" "YHR207C" 1.67661352015749e-08 4.9362761696086e-08 0.537653761913565 31.8370784036246
"2223" "YFL013C" 1.67950819504263e-08 4.94257427438997e-08 0.495784476014702 31.83372786364
"2224" "YDR047W" 1.68774043913687e-08 4.96456742483515e-08 -0.504358439938862 31.8242306954957
"2225" "YDL115C" 1.7301354529256e-08 5.08527460384646e-08 0.65725749489967 31.776044771579
"2226" "YER063W" 1.73033036810795e-08 5.08527460384646e-08 -0.575694367291767 31.7758259745255
"2227" "YGR160W" 1.79631521568627e-08 5.27682718501105e-08 -0.785413565420256 31.703140141171
"2228" "YNL290W" 1.8509590593121e-08 5.43490761491013e-08 -0.537546800564226 31.6449435721932
"2229" "YBL091C" 1.85694332564685e-08 5.45003285616049e-08 -0.454382723214086 31.6386750826271
"2230" "YNL159C" 1.87128947629767e-08 5.48967522598177e-08 0.692313960052336 31.6237295840126
"2231" "YPR027C" 1.90930038078499e-08 5.59867462621938e-08 1.34008992805289 31.5846788714928
"2232" "YOL010W" 1.97513990523027e-08 5.78914214158441e-08 -0.511899632109776 31.5188455700763
"2233" "YER100W" 2.00908483802498e-08 5.88599776549906e-08 0.487221689918641 31.4857577136089
"2234" "YJR121W" 2.04823036610538e-08 5.99799599599885e-08 0.557628719388372 31.4482888575197
"2235" "YPL127C" 2.05109811604182e-08 6.00370643183248e-08 0.554078042543786 31.4455722023943
"2236" "YKL153W" 2.08148802560092e-08 6.08993500155689e-08 -0.582029847660509 31.4170150287367
"2237" "YPR182W" 2.14406074182265e-08 6.2702035641501e-08 1.233786595001 31.3595085126781
"2238" "YOR346W" 2.15081126112961e-08 6.28713461586681e-08 -0.454663359921918 31.3534052995881
"2239" "YKR031C" 2.20147064783516e-08 6.43234523364789e-08 0.513921246592319 31.3082068145733
"2240" "YJL003W" 2.22923610734798e-08 6.51056366708503e-08 1.08102416502445 31.283874383114
"2241" "YER139C" 2.26767427616084e-08 6.61986841349586e-08 0.958548337290925 31.2506852505946
"2242" "YEL052W" 2.27207446461273e-08 6.62975519513671e-08 0.50133824228533 31.2469219464012
"2243" "YHR054C" 2.32169550238552e-08 6.77152562488012e-08 0.634156595570613 31.2049813718451
"2244" "YGR068C" 2.37749721325509e-08 6.93118839978377e-08 -0.717438695757482 31.1588763225429
"2245" "YLL017W" 2.39569067634628e-08 6.98111732946876e-08 2.44842100703735 31.1440783936959
"2246" "YOR059C" 2.40058596952821e-08 6.99226777054922e-08 0.504755527987786 31.1401159512095
"2247" "YOL065C" 2.41659794102438e-08 7.03577380070383e-08 0.812924496220815 31.127211538725
"2248" "YML008C" 2.50908657946554e-08 7.30179911159411e-08 0.530719485183769 31.0543092494081
"2249" "YKL110C" 2.5225059948063e-08 7.33758746910752e-08 -0.660791696721753 31.0439558917075
"2250" "YNL313C" 2.57562056400652e-08 7.48875987988029e-08 -0.525468338549766 31.0035112606049
"2251" "YNR066C" 2.67113141968044e-08 7.76301277101262e-08 -0.924712882799597 30.9328420111268
"2252" "YPR048W" 2.73746347296011e-08 7.95225845475357e-08 -0.515532470939477 30.8852364412523
"2253" "YLR036C" 2.78228026002275e-08 8.07886261032792e-08 1.44030628988028 30.8537217742211
"2254" "YOR182C" 2.89982053077565e-08 8.41642675791229e-08 -0.607055332842864 30.7734248466287
"2255" "YIL104C" 2.92812069781747e-08 8.49479627721592e-08 -0.706919828135356 30.7545789517366
"2256" "YHR159W" 2.94074115475195e-08 8.52762794077449e-08 0.806606522815319 30.74623338254
"2257" "YMR010W" 2.98812499143304e-08 8.6611934842512e-08 -0.604527655626746 30.7152167905965
"2258" "YDR110W" 3.0029282313502e-08 8.70024645238839e-08 -0.503884617152895 30.7056278057486
"2259" "YNL255C" 3.00751774531507e-08 8.70968618408641e-08 -0.456778392283663 30.7026645050517
"2260" "YDR485C" 3.08465799451707e-08 8.92912946908436e-08 0.560938533958702 30.6535242907059
"2261" "YLR034C" 3.16002398471722e-08 9.14324498364444e-08 -0.661107951375065 30.6066891147524
"2262" "YKL168C" 3.214058606564e-08 9.29547807433318e-08 0.597494581750751 30.5737937430414
"2263" "YDL057W" 3.25831372972109e-08 9.41930553240627e-08 0.936363158068888 30.5472620584138
"2264" "YKR029C" 3.31034235837433e-08 9.56548573696327e-08 0.523520059434462 30.5165278960219
"2265" "YJR138W" 3.35078718194766e-08 9.67807935730753e-08 0.486060292621057 30.4929689489984
"2266" "YIL038C" 3.39559581053152e-08 9.80317201787168e-08 -0.446467078803243 30.4671984674475
"2267" "YER030W" 3.49791146500858e-08 1.00941053392528e-07 0.545070756282276 30.4096090984252
"2268" "YHR041C" 3.51343893970168e-08 1.01344433613441e-07 -0.811675588956775 30.4010170840454
"2269" "YLR324W" 3.56089308075609e-08 1.02667970622769e-07 0.476406450867779 30.3749925315266
"2270" "YLR137W" 3.67059439883355e-08 1.0578426677167e-07 -0.786426284322211 30.3161368644352
"2271" "YNL154C" 3.70760409636211e-08 1.06803813291065e-07 -0.428578657653279 30.2966777266414
"2272" "YAR027W" 3.74197975678594e-08 1.07746617820834e-07 0.64108351044509 30.2787770595162
"2273" "YPR051W" 3.9711053835189e-08 1.14293758992436e-07 -1.30999149791078 30.1635132238113
"2274" "YER032W" 3.99088812703938e-08 1.14812621491168e-07 -0.577290905249511 30.1538758305357
"2275" "YOR291W" 4.05575885959586e-08 1.16627419570901e-07 -0.469668759429417 30.1226057650782
"2276" "YMR213W" 4.05753602787177e-08 1.16627419570901e-07 0.629983759654888 30.1217561735397
"2277" "YPR118W" 4.10480907229523e-08 1.17934391528131e-07 -0.464508437052154 30.0992926682748
"2278" "YMR015C" 4.15290312397813e-08 1.19263793841374e-07 0.571108776905803 30.0767034479843
"2279" "YML129C" 4.16017758781011e-08 1.19420279857191e-07 0.998782630779044 30.0733095528791
"2280" "YMR178W" 4.19310872293246e-08 1.2031279502379e-07 -0.587207547130671 30.0580195694637
"2281" "YBR192W" 4.27454176967638e-08 1.22595582013253e-07 -0.645063550726202 30.020720702407
"2282" "YJR160C" 4.27663692379856e-08 1.22601922679624e-07 1.03480472957868 30.0197704772404
"2283" "YGL202W" 4.30344060600443e-08 1.23316287536053e-07 -0.455848236520812 30.0076550575542
"2284" "YGL003C" 4.33386879806381e-08 1.24133842718623e-07 0.611707963877924 29.9939926293179
"2285" "YDR523C" 4.34959010271019e-08 1.2452962123383e-07 1.41997516723151 29.9869712826991
"2286" "YOR192C" 4.48087912185646e-08 1.28232332524869e-07 1.04000068804056 29.9293096134269
"2287" "YLR189C" 4.6093979222435e-08 1.31852563215203e-07 0.435615175780989 29.8744812237035
"2288" "YPL005W" 4.63971394927433e-08 1.32661751119549e-07 0.713659140915901 29.8617711922606
"2289" "YDR475C" 4.6478460157853e-08 1.32822611021296e-07 0.496267094240326 29.8583759651552
"2290" "YJL171C" 4.64940047751099e-08 1.32822611021296e-07 -0.887687733962865 29.8577276379172
"2291" "YER147C" 4.70238776156795e-08 1.34277698542896e-07 0.602379372182629 29.8357568589686
"2292" "YAR009C" 4.91750112932859e-08 1.40359041832756e-07 -0.567182030422834 29.7490385878138
"2293" "YLR337C" 5.00177810811941e-08 1.4270227816536e-07 0.50077722293495 29.7160962193517
"2294" "YKL035W" 5.00804463141311e-08 1.42818779331755e-07 0.486095677413773 29.7136690037905
"2295" "YLR213C" 5.07207092513675e-08 1.44581647025031e-07 1.17918754715926 29.6890426019663
"2296" "YMR045C" 5.16093020591155e-08 1.47050546198055e-07 -0.541714880919353 29.6553759018346
"2297" "YKL024C" 5.33650780079064e-08 1.51987087648116e-07 -0.596454577909447 29.5905281204887
"2298" "YGL169W" 5.72410538279992e-08 1.62955167163956e-07 -0.637231696686801 29.4546324820466
"2299" "YOR190W" 5.76309042012953e-08 1.63993638662407e-07 0.991278114874134 29.4414778323463
"2300" "YBR230W-A" 5.83791585514481e-08 1.66050632714597e-07 1.46820894702799 29.4164775420403
"2301" "YOR294W" 5.88554401455856e-08 1.67332589931517e-07 -0.581355913054886 29.4007309343418
"2302" "YOR008C" 5.92710570489736e-08 1.68441031804685e-07 0.415853611883742 29.3870939631786
"2303" "YMR050C" 5.94090728502423e-08 1.68759945543328e-07 -0.576334237865852 29.3825866543776
"2304" "YDR540C" 6.05918638705866e-08 1.72010106568941e-07 -1.85686286383988 29.3443839160618
"2305" "YNL018C" 6.06058232408144e-08 1.72010106568941e-07 1.86119156067031 29.3439375202172
"2306" "YBR243C" 6.08818301590785e-08 1.72718531179831e-07 -0.607766776036656 29.3351324016819
"2307" "YHR110W" 6.17565997476538e-08 1.75124263350304e-07 0.485483794581699 29.3074876202795
"2308" "YML074C" 6.18119780630784e-08 1.75205355497686e-07 -0.463294067204263 29.3057507634531
"2309" "YHR072W-A" 6.20429171404947e-08 1.75783786891778e-07 -1.06635899558153 29.2985244782558
"2310" "YJR043C" 6.30687622996893e-08 1.7861291903228e-07 -0.628301622443984 29.2667472857722
"2311" "YPR140W" 6.32444144885131e-08 1.79032868707855e-07 0.525451420983821 29.2613581527745
"2312" "YML022W" 6.3371350102199e-08 1.79314607425859e-07 -0.496219871695256 29.2574730050507
"2313" "YBL052C" 6.40326433135929e-08 1.8110745895267e-07 -0.525701071892692 29.2373579438129
"2314" "YNR027W" 6.56875046281778e-08 1.85707716195998e-07 -0.767107917518941 29.1879190294932
"2315" "YHL050C" 6.70903766358373e-08 1.89591898035269e-07 0.501869087836082 29.1469760144391
"2316" "YNL021W" 6.80731548563953e-08 1.9228608768158e-07 -0.530098285592196 29.1188012837921
"2317" "YER034W" 6.94763377300292e-08 1.96164955299893e-07 0.927732389749637 29.0792726747282
"2318" "YBR223C" 6.969288880572e-08 1.96691492047895e-07 0.741033393851551 29.0732436287467
"2319" "YDL071C" 7.21468470154127e-08 2.03529397660556e-07 1.15841974680919 29.0062046316001
"2320" "YNL128W" 7.29691765782999e-08 2.05760497058292e-07 1.26869521305516 28.9842497880628
"2321" "YHR120W" 7.41950563085281e-08 2.09127125536575e-07 -0.536516226883495 28.9519768332007
"2322" "YOR133W" 7.43845166883729e-08 2.0957084762073e-07 -0.517466286015428 28.947036749235
